model_type,learning_rate,batch_size,final_loss,final_accuracy,epochs_trained,training_time_seconds,model_path
dense,0.0001,256,6669.6708984375,0.37929999828338623,10,20.592851877212524,./model_weights/dense_lr0.0001_bs256.keras
dense,0.0001,512,6511.2001953125,0.41659998893737793,10,18.813261032104492,./model_weights/dense_lr0.0001_bs512.keras
dense,0.0001,1024,6518.68212890625,0.3754666745662689,10,17.719111919403076,./model_weights/dense_lr0.0001_bs1024.keras
dense,0.001,256,7093.02099609375,0.3660333454608917,10,20.11092209815979,./model_weights/dense_lr0.001_bs256.keras
dense,0.001,512,7459.462890625,0.462799996137619,8,14.637052297592163,./model_weights/dense_lr0.001_bs512.keras
dense,0.001,1024,7636.58447265625,0.23573333024978638,8,13.259589195251465,./model_weights/dense_lr0.001_bs1024.keras
dense,0.005,256,11534.328125,0.056466665118932724,7,14.195851802825928,./model_weights/dense_lr0.005_bs256.keras
dense,0.005,512,6855.6015625,0.23856666684150696,10,17.26652479171753,./model_weights/dense_lr0.005_bs512.keras
dense,0.005,1024,7427.052734375,0.4639666676521301,10,17.33737277984619,./model_weights/dense_lr0.005_bs1024.keras
lstm,0.0001,256,6964.0009765625,0.5183221697807312,10,26.377821922302246,./model_weights/lstm_lr0.0001_bs256.keras
lstm,0.0001,512,6948.2431640625,0.7160481214523315,10,22.613524913787842,./model_weights/lstm_lr0.0001_bs512.keras
lstm,0.0001,1024,6956.99853515625,0.4518688917160034,10,20.709375858306885,./model_weights/lstm_lr0.0001_bs1024.keras
lstm,0.001,256,6661.8056640625,0.8077756762504578,10,25.11585569381714,./model_weights/lstm_lr0.001_bs256.keras
lstm,0.001,512,6634.5,0.8077756762504578,10,22.538649797439575,./model_weights/lstm_lr0.001_bs512.keras
lstm,0.001,1024,6655.583984375,0.8077756762504578,10,20.494873046875,./model_weights/lstm_lr0.001_bs1024.keras
lstm,0.005,256,5311.060546875,0.7752325534820557,10,22.797966957092285,./model_weights/lstm_lr0.005_bs256.keras
lstm,0.005,512,5123.9853515625,0.8077756762504578,10,20.939486265182495,./model_weights/lstm_lr0.005_bs512.keras
lstm,0.005,1024,5301.28369140625,0.8075089454650879,10,20.690659046173096,./model_weights/lstm_lr0.005_bs1024.keras
conv,0.0001,256,3746.978271484375,0.8080757856369019,10,22.750221967697144,./model_weights/conv_lr0.0001_bs256.keras
conv,0.0001,512,3677.14501953125,0.8073088526725769,10,18.73053812980652,./model_weights/conv_lr0.0001_bs512.keras
conv,0.0001,1024,3751.043212890625,0.8075755834579468,10,17.6804678440094,./model_weights/conv_lr0.0001_bs1024.keras
conv,0.001,256,2503.087646484375,0.8077756762504578,10,19.55072283744812,./model_weights/conv_lr0.001_bs256.keras
conv,0.001,512,2653.891357421875,0.8077756762504578,10,18.358617067337036,./model_weights/conv_lr0.001_bs512.keras
conv,0.001,1024,2549.167724609375,0.8077756762504578,10,17.89970588684082,./model_weights/conv_lr0.001_bs1024.keras
conv,0.005,256,2638.704833984375,0.8077756762504578,10,21.99917697906494,./model_weights/conv_lr0.005_bs256.keras
conv,0.005,512,2710.27099609375,0.8077756762504578,10,20.041131019592285,./model_weights/conv_lr0.005_bs512.keras
conv,0.005,1024,2710.127685546875,0.807975709438324,10,20.119279861450195,./model_weights/conv_lr0.005_bs1024.keras
conv_lstm,0.0001,256,6921.17041015625,0.7947050929069519,10,28.16071915626526,./model_weights/conv_lstm_lr0.0001_bs256.keras
conv_lstm,0.0001,512,6939.20556640625,0.7366543412208557,10,24.46266508102417,./model_weights/conv_lstm_lr0.0001_bs512.keras
conv_lstm,0.0001,1024,6912.78271484375,0.8027074933052063,10,23.761008977890015,./model_weights/conv_lstm_lr0.0001_bs1024.keras
conv_lstm,0.001,256,6421.74951171875,0.8077756762504578,10,26.253411054611206,./model_weights/conv_lstm_lr0.001_bs256.keras
conv_lstm,0.001,512,6352.1044921875,0.8077756762504578,10,24.26555299758911,./model_weights/conv_lstm_lr0.001_bs512.keras
conv_lstm,0.001,1024,6374.80517578125,0.8077756762504578,10,23.104607820510864,./model_weights/conv_lstm_lr0.001_bs1024.keras
conv_lstm,0.005,256,4864.20068359375,0.8077756762504578,10,27.912053108215332,./model_weights/conv_lstm_lr0.005_bs256.keras
conv_lstm,0.005,512,4895.2783203125,0.8077756762504578,10,24.73858404159546,./model_weights/conv_lstm_lr0.005_bs512.keras
conv_lstm,0.005,1024,4876.47607421875,0.8077756762504578,10,23.437418937683105,./model_weights/conv_lstm_lr0.005_bs1024.keras
residual_conv_lstm,0.0001,256,4762.49853515625,0.8077756762504578,10,36.673527002334595,./model_weights/residual_conv_lstm_lr0.0001_bs256.keras
residual_conv_lstm,0.0001,512,5038.09765625,0.8077756762504578,10,34.11061501502991,./model_weights/residual_conv_lstm_lr0.0001_bs512.keras
residual_conv_lstm,0.0001,1024,5171.23876953125,0.8077756762504578,10,33.10377883911133,./model_weights/residual_conv_lstm_lr0.0001_bs1024.keras
residual_conv_lstm,0.001,256,3157.873291015625,0.8077756762504578,10,36.80106067657471,./model_weights/residual_conv_lstm_lr0.001_bs256.keras
residual_conv_lstm,0.001,512,3113.302490234375,0.8077756762504578,10,37.536104917526245,./model_weights/residual_conv_lstm_lr0.001_bs512.keras
residual_conv_lstm,0.001,1024,3145.761962890625,0.8077756762504578,10,35.74897885322571,./model_weights/residual_conv_lstm_lr0.001_bs1024.keras
residual_conv_lstm,0.005,256,3191.26171875,0.8077756762504578,10,39.20047903060913,./model_weights/residual_conv_lstm_lr0.005_bs256.keras
residual_conv_lstm,0.005,512,3108.888916015625,0.8077756762504578,10,35.65619993209839,./model_weights/residual_conv_lstm_lr0.005_bs512.keras
residual_conv_lstm,0.005,1024,3149.65185546875,0.8077756762504578,10,34.15589785575867,./model_weights/residual_conv_lstm_lr0.005_bs1024.keras
