model_type,sequence_length,batch_normalization,final_loss,final_mae,epochs_trained,training_time_seconds,model_path
dense_only,10,OFF,0.4040258228778839,0.48386549949645996,15,16.992263078689575,./model_weights/dense_only_1_128_16_10_False.keras
dense_only,10,ON,0.4603521227836609,0.512789785861969,15,16.521404027938843,./model_weights/dense_only_1_128_16_10_True.keras
dense_only,20,OFF,0.3998323380947113,0.48302793502807617,15,16.800724983215332,./model_weights/dense_only_1_128_16_20_False.keras
dense_only,20,ON,0.485068678855896,0.525139331817627,15,16.66995406150818,./model_weights/dense_only_1_128_16_20_True.keras
dense_only,10,OFF,0.406230628490448,0.48188555240631104,15,16.00093698501587,./model_weights/dense_only_2_128_16_10_False.keras
dense_only,10,ON,0.44529008865356445,0.5193833708763123,15,18.676021814346313,./model_weights/dense_only_2_128_16_10_True.keras
dense_only,20,OFF,0.3983996510505676,0.47842562198638916,15,16.57482385635376,./model_weights/dense_only_2_128_16_20_False.keras
dense_only,20,ON,0.503449559211731,0.544707179069519,15,19.67513918876648,./model_weights/dense_only_2_128_16_20_True.keras
dense_only,10,OFF,0.4008813202381134,0.4777931571006775,15,18.18005895614624,./model_weights/dense_only_3_128_16_10_False.keras
dense_only,10,ON,0.4798266291618347,0.5341684818267822,15,22.54316210746765,./model_weights/dense_only_3_128_16_10_True.keras
dense_only,20,OFF,0.4248464107513428,0.4915536046028137,15,17.977179050445557,./model_weights/dense_only_3_128_16_20_False.keras
dense_only,20,ON,0.5513381361961365,0.5698828101158142,15,22.43190097808838,./model_weights/dense_only_3_128_16_20_True.keras
dense_only,10,OFF,0.40963348746299744,0.478131502866745,15,19.832871913909912,./model_weights/dense_only_4_128_16_10_False.keras
dense_only,10,ON,0.4700401723384857,0.5307841897010803,15,25.153050899505615,./model_weights/dense_only_4_128_16_10_True.keras
dense_only,20,OFF,0.41392919421195984,0.48173657059669495,15,19.728405952453613,./model_weights/dense_only_4_128_16_20_False.keras
dense_only,20,ON,0.5448575615882874,0.575732946395874,15,25.470964908599854,./model_weights/dense_only_4_128_16_20_True.keras
dense_only,10,OFF,0.42571505904197693,0.48683008551597595,15,21.325132608413696,./model_weights/dense_only_5_128_16_10_False.keras
dense_only,10,ON,0.4712333381175995,0.5349841117858887,15,27.951390027999878,./model_weights/dense_only_5_128_16_10_True.keras
dense_only,20,OFF,0.4009168744087219,0.4737548530101776,15,20.743829011917114,./model_weights/dense_only_5_128_16_20_False.keras
dense_only,20,ON,0.5817078948020935,0.598555326461792,15,27.48473024368286,./model_weights/dense_only_5_128_16_20_True.keras
dense_only,10,OFF,0.4255084991455078,0.48686543107032776,15,22.057434797286987,./model_weights/dense_only_6_128_16_10_False.keras
dense_only,10,ON,0.4647987186908722,0.5389437675476074,15,29.891366243362427,./model_weights/dense_only_6_128_16_10_True.keras
dense_only,20,OFF,0.4135582745075226,0.48092272877693176,15,21.979262828826904,./model_weights/dense_only_6_128_16_20_False.keras
dense_only,20,ON,0.5843345522880554,0.5971899628639221,15,29.977275848388672,./model_weights/dense_only_6_128_16_20_True.keras
dense_only,10,OFF,0.41788139939308167,0.4839446246623993,15,23.939289093017578,./model_weights/dense_only_8_128_16_10_False.keras
dense_only,10,ON,0.5010429620742798,0.5632084012031555,15,36.568435192108154,./model_weights/dense_only_8_128_16_10_True.keras
dense_only,20,OFF,0.41919106245040894,0.484120637178421,15,23.98395538330078,./model_weights/dense_only_8_128_16_20_False.keras
dense_only,20,ON,0.5409274101257324,0.5908503532409668,15,34.95187497138977,./model_weights/dense_only_8_128_16_20_True.keras
conv_only,10,OFF,0.41355571150779724,0.49508294463157654,15,17.587555170059204,./model_weights/conv_only_1_16_64_10_False.keras
conv_only,10,ON,0.45077788829803467,0.5212121605873108,15,20.941000938415527,./model_weights/conv_only_1_16_64_10_True.keras
conv_only,20,OFF,0.41809144616127014,0.500032365322113,15,20.285099983215332,./model_weights/conv_only_1_16_64_20_False.keras
conv_only,20,ON,0.5308986306190491,0.5584834814071655,15,23.6793372631073,./model_weights/conv_only_1_16_64_20_True.keras
conv_only,10,OFF,0.4110713601112366,0.48934420943260193,15,21.815584182739258,./model_weights/conv_only_2_16_64_10_False.keras
conv_only,10,ON,0.6174308657646179,0.5922099351882935,15,25.97536015510559,./model_weights/conv_only_2_16_64_10_True.keras
conv_only,20,OFF,0.4052146077156067,0.48101016879081726,15,27.861618995666504,./model_weights/conv_only_2_16_64_20_False.keras
conv_only,20,ON,0.7368060350418091,0.6134612560272217,15,34.35169196128845,./model_weights/conv_only_2_16_64_20_True.keras
conv_only,10,OFF,0.40227583050727844,0.4764138162136078,15,31.656633138656616,./model_weights/conv_only_3_16_64_10_False.keras
conv_only,10,ON,0.5063333511352539,0.5470899343490601,15,31.472087144851685,./model_weights/conv_only_3_16_64_10_True.keras
conv_only,20,OFF,0.4025568962097168,0.4804854989051819,15,35.39222192764282,./model_weights/conv_only_3_16_64_20_False.keras
conv_only,20,ON,0.5175521373748779,0.5548713207244873,15,46.53028106689453,./model_weights/conv_only_3_16_64_20_True.keras
conv_only,10,OFF,0.40529632568359375,0.48508498072624207,15,26.906466007232666,./model_weights/conv_only_4_16_64_10_False.keras
conv_only,10,ON,0.46417468786239624,0.5290559530258179,15,35.92207384109497,./model_weights/conv_only_4_16_64_10_True.keras
conv_only,20,OFF,0.3988827168941498,0.47781482338905334,15,45.19706201553345,./model_weights/conv_only_4_16_64_20_False.keras
conv_only,20,ON,0.5275148153305054,0.5579599142074585,15,61.23048496246338,./model_weights/conv_only_4_16_64_20_True.keras
conv_only,10,OFF,0.4104779064655304,0.4869333505630493,15,30.073823928833008,./model_weights/conv_only_5_16_64_10_False.keras
conv_only,10,ON,0.4519316852092743,0.5252557992935181,15,38.67236399650574,./model_weights/conv_only_5_16_64_10_True.keras
conv_only,20,OFF,0.4015735685825348,0.48130354285240173,15,44.13265013694763,./model_weights/conv_only_5_16_64_20_False.keras
conv_only,20,ON,0.4896007180213928,0.5429733991622925,15,63.10083198547363,./model_weights/conv_only_5_16_64_20_True.keras
conv_only,10,OFF,0.3972489833831787,0.4773586094379425,15,46.376606941223145,./model_weights/conv_only_6_16_64_10_False.keras
conv_only,10,ON,0.44708701968193054,0.5261138081550598,15,57.16198801994324,./model_weights/conv_only_6_16_64_10_True.keras
conv_only,20,OFF,0.41435208916664124,0.4845232665538788,15,55.5337860584259,./model_weights/conv_only_6_16_64_20_False.keras
conv_only,20,ON,0.563664972782135,0.5830935835838318,15,75.83591604232788,./model_weights/conv_only_6_16_64_20_True.keras
conv_only,10,OFF,0.41983845829963684,0.49872735142707825,15,55.734484910964966,./model_weights/conv_only_8_16_64_10_False.keras
conv_only,10,ON,0.47385284304618835,0.5401491522789001,15,52.12860703468323,./model_weights/conv_only_8_16_64_10_True.keras
conv_only,20,OFF,0.46651050448417664,0.5289770364761353,15,69.34597206115723,./model_weights/conv_only_8_16_64_20_False.keras
conv_only,20,ON,0.5110383629798889,0.5557328462600708,15,97.07618260383606,./model_weights/conv_only_8_16_64_20_True.keras
lstm_only,10,OFF,0.40148231387138367,0.47061052918434143,15,33.59930992126465,./model_weights/lstm_only_1_32_18_6_10_False.keras
lstm_only,10,ON,0.4571244418621063,0.5336290597915649,15,37.83789801597595,./model_weights/lstm_only_1_32_18_6_10_True.keras
lstm_only,20,OFF,0.3977111279964447,0.47101038694381714,15,49.06311392784119,./model_weights/lstm_only_1_32_18_6_20_False.keras
lstm_only,20,ON,0.4250470995903015,0.5078299045562744,15,53.29500699043274,./model_weights/lstm_only_1_32_18_6_20_True.keras
lstm_only,10,OFF,0.4311714768409729,0.48943936824798584,15,47.90077614784241,./model_weights/lstm_only_1_60_18_6_10_False.keras
lstm_only,10,ON,0.44675713777542114,0.525263786315918,15,51.9367139339447,./model_weights/lstm_only_1_60_18_6_10_True.keras
lstm_only,20,OFF,0.4094904959201813,0.4759396016597748,15,80.12442708015442,./model_weights/lstm_only_1_60_18_6_20_False.keras
lstm_only,20,ON,0.46450015902519226,0.5340814590454102,15,83.93237280845642,./model_weights/lstm_only_1_60_18_6_20_True.keras
lstm_only,10,OFF,0.40941131114959717,0.4774870276451111,15,55.54110884666443,./model_weights/lstm_only_2_32_18_6_10_False.keras
lstm_only,10,ON,0.46230441331863403,0.5390965938568115,15,62.77059817314148,./model_weights/lstm_only_2_32_18_6_10_True.keras
lstm_only,20,OFF,0.4120831787586212,0.481319397687912,15,91.7228639125824,./model_weights/lstm_only_2_32_18_6_20_False.keras
lstm_only,20,ON,0.4805760681629181,0.547936737537384,15,102.35889410972595,./model_weights/lstm_only_2_32_18_6_20_True.keras
lstm_only,10,OFF,0.4307767450809479,0.48805686831474304,15,97.06667590141296,./model_weights/lstm_only_2_60_18_6_10_False.keras
lstm_only,10,ON,0.45816802978515625,0.5326276421546936,15,102.90416479110718,./model_weights/lstm_only_2_60_18_6_10_True.keras
lstm_only,20,OFF,0.42562487721443176,0.48616456985473633,15,171.14319801330566,./model_weights/lstm_only_2_60_18_6_20_False.keras
lstm_only,20,ON,0.4849754273891449,0.5545690059661865,15,202.4175009727478,./model_weights/lstm_only_2_60_18_6_20_True.keras
lstm_only,10,OFF,0.4080355167388916,0.4772537350654602,15,82.95162796974182,./model_weights/lstm_only_3_32_18_6_10_False.keras
lstm_only,10,ON,0.5007839798927307,0.5621436238288879,15,94.48593187332153,./model_weights/lstm_only_3_32_18_6_10_True.keras
lstm_only,20,OFF,0.4234292805194855,0.48498865962028503,15,143.19450068473816,./model_weights/lstm_only_3_32_18_6_20_False.keras
lstm_only,20,ON,0.49168041348457336,0.5582865476608276,15,161.67374467849731,./model_weights/lstm_only_3_32_18_6_20_True.keras
lstm_only,10,OFF,0.42177140712738037,0.48035892844200134,15,155.4141399860382,./model_weights/lstm_only_3_60_18_6_10_False.keras
lstm_only,10,ON,0.45925095677375793,0.5373093485832214,15,163.31218194961548,./model_weights/lstm_only_3_60_18_6_10_True.keras
lstm_only,20,OFF,0.40687641501426697,0.47262176871299744,15,271.64701199531555,./model_weights/lstm_only_3_60_18_6_20_False.keras
lstm_only,20,ON,0.48520639538764954,0.5530097484588623,15,288.08601808547974,./model_weights/lstm_only_3_60_18_6_20_True.keras
conv_lstm,10,OFF,0.3993918299674988,0.4762060046195984,15,46.552366971969604,./model_weights/conv_lstm_2_1_32_18_6_10_False.keras
conv_lstm,10,ON,0.5093604326248169,0.5696760416030884,15,56.23916816711426,./model_weights/conv_lstm_2_1_32_18_6_10_True.keras
conv_lstm,20,OFF,0.4078524112701416,0.4796191453933716,15,66.66083407402039,./model_weights/conv_lstm_2_1_32_18_6_20_False.keras
conv_lstm,20,ON,0.4854450523853302,0.5571475625038147,15,79.80887603759766,./model_weights/conv_lstm_2_1_32_18_6_20_True.keras
conv_lstm,10,OFF,0.41066014766693115,0.48115819692611694,15,64.70044112205505,./model_weights/conv_lstm_2_1_60_18_6_10_False.keras
conv_lstm,10,ON,0.49113893508911133,0.5588207840919495,15,83.53052067756653,./model_weights/conv_lstm_2_1_60_18_6_10_True.keras
conv_lstm,20,OFF,0.6099958419799805,0.6211715936660767,15,102.90705704689026,./model_weights/conv_lstm_2_1_60_18_6_20_False.keras
conv_lstm,20,ON,0.4850926697254181,0.554951548576355,15,116.9057207107544,./model_weights/conv_lstm_2_1_60_18_6_20_True.keras
conv_lstm,10,OFF,0.41040554642677307,0.48014143109321594,15,71.24097275733948,./model_weights/conv_lstm_2_2_32_18_6_10_False.keras
conv_lstm,10,ON,0.49165019392967224,0.5604651570320129,15,84.17350721359253,./model_weights/conv_lstm_2_2_32_18_6_10_True.keras
