Model_Name,Arch,Layers,Seq_Length,BatchNorm,final_loss,training_time_seconds
lstm_1_5_OFF,lstm,1,5,OFF,6830.937760416667,6.405279159545898
lstm_1_10_OFF,lstm,1,10,OFF,6830.527937825521,6.9785284996032715
lstm_1_15_OFF,lstm,1,15,OFF,6830.1056722005205,8.045153141021729
lstm_1_20_OFF,lstm,1,20,OFF,6829.4486897786455,9.39971661567688
lstm_2_5_OFF,lstm,2,5,OFF,6829.9936930338545,7.068418979644775
lstm_2_10_OFF,lstm,2,10,OFF,6829.740478515625,9.307286500930786
lstm_2_15_OFF,lstm,2,15,OFF,6829.1162516276045,11.68919825553894
lstm_2_20_OFF,lstm,2,20,OFF,6828.285343424479,13.903016328811646
lstm_3_5_OFF,lstm,3,5,OFF,6830.075032552083,8.338831901550293
lstm_3_10_OFF,lstm,3,10,OFF,6829.721451822917,11.681584119796753
lstm_3_15_OFF,lstm,3,15,OFF,6829.047965494791,15.219632148742676
lstm_3_20_OFF,lstm,3,20,OFF,6828.284195963542,19.122520923614502
lstm_4_5_OFF,lstm,4,5,OFF,6830.078833007812,9.514491558074951
lstm_4_10_OFF,lstm,4,10,OFF,6829.7136637369795,14.1311194896698
lstm_4_15_OFF,lstm,4,15,OFF,6829.1531168619795,18.744941234588623
lstm_4_20_OFF,lstm,4,20,OFF,6828.366788736979,23.983996152877808
lstm_5_5_OFF,lstm,5,5,OFF,6830.082177734375,10.586947441101074
lstm_5_10_OFF,lstm,5,10,OFF,6829.679020182291,16.875492334365845
lstm_5_15_OFF,lstm,5,15,OFF,6829.1125895182295,23.538246631622314
lstm_5_20_OFF,lstm,5,20,OFF,6828.273787434896,30.038065910339355
lstm_6_5_OFF,lstm,6,5,OFF,6830.054500325521,12.709449529647827
lstm_6_10_OFF,lstm,6,10,OFF,6829.623282877604,20.463398218154907
lstm_6_15_OFF,lstm,6,15,OFF,6829.151302083334,27.418387174606323
lstm_6_20_OFF,lstm,6,20,OFF,6828.354231770833,35.63396716117859
lstm_7_5_OFF,lstm,7,5,OFF,6830.039469401042,13.928563594818115
lstm_7_10_OFF,lstm,7,10,OFF,6829.697802734375,22.463438034057617
lstm_7_15_OFF,lstm,7,15,OFF,6829.100610351563,31.669589519500732
lstm_7_20_OFF,lstm,7,20,OFF,6828.326472981771,40.298097133636475
lstm_8_5_OFF,lstm,8,5,OFF,6830.028670247396,15.144423723220825
lstm_8_10_OFF,lstm,8,10,OFF,6829.770402018229,26.893653392791748
lstm_8_15_OFF,lstm,8,15,OFF,6829.185310872396,35.44751954078674
lstm_8_20_OFF,lstm,8,20,OFF,6828.336173502604,45.60293626785278
lstm_9_5_OFF,lstm,9,5,OFF,6830.111710611979,16.245712518692017
lstm_9_10_OFF,lstm,9,10,OFF,6829.731258138021,28.070210456848145
lstm_9_15_OFF,lstm,9,15,OFF,6829.163753255209,39.95251512527466
lstm_9_20_OFF,lstm,9,20,OFF,6828.404793294271,50.03464698791504
lstm_10_5_OFF,lstm,10,5,OFF,6830.032584635416,18.282691955566406
lstm_10_10_OFF,lstm,10,10,OFF,6829.690983072916,30.978296041488647
lstm_10_15_OFF,lstm,10,15,OFF,6829.0145263671875,43.117170333862305
lstm_10_20_OFF,lstm,10,20,OFF,6828.395865885416,55.58610010147095
