Model_Name,Arch,Layers,Seq_Length,BatchNorm,final_loss,training_time_seconds
lstm_4_15_OFF,lstm,4,15,OFF,6903.745559951007,10.008649826049805
lstm_4_15_ON,lstm,4,15,ON,6902.457128492452,12.434958457946777
lstm_4_20_OFF,lstm,4,20,OFF,6903.6105150125795,9.625535488128662
lstm_4_20_ON,lstm,4,20,ON,6902.544417041843,12.627168655395508
lstm_5_5_OFF,lstm,5,5,OFF,6903.008468369306,10.600873947143555
lstm_5_5_ON,lstm,5,5,ON,6902.2050077793965,13.30864405632019
lstm_5_10_OFF,lstm,5,10,OFF,6903.357988777807,12.262816667556763
lstm_5_10_ON,lstm,5,10,ON,6902.4005644200215,16.115879774093628
lstm_5_15_OFF,lstm,5,15,OFF,6903.626102770789,12.968554973602295
lstm_5_15_ON,lstm,5,15,ON,6902.5479632878705,14.597780227661133
lstm_5_20_OFF,lstm,5,20,OFF,6903.836148536811,12.374770164489746
lstm_5_20_ON,lstm,5,20,ON,6902.824125645524,14.778323888778687
lstm_6_5_OFF,lstm,6,5,OFF,6903.144487801244,17.575556755065918
lstm_6_5_ON,lstm,6,5,ON,6902.146825758077,17.283125400543213
lstm_6_10_OFF,lstm,6,10,OFF,6902.986210192664,13.850130558013916
lstm_6_10_ON,lstm,6,10,ON,6902.339982372219,16.447294235229492
lstm_6_15_OFF,lstm,6,15,OFF,6903.265382928364,14.21250319480896
lstm_6_15_ON,lstm,6,15,ON,6902.638607736361,16.60919761657715
lstm_6_20_OFF,lstm,6,20,OFF,6903.4209791280455,13.505889415740967
lstm_6_20_ON,lstm,6,20,ON,6902.738926774365,15.30933690071106
lstm_7_5_OFF,lstm,7,5,OFF,6903.263599460408,15.179715394973755
lstm_7_5_ON,lstm,7,5,ON,6902.160090042373,16.771843671798706
lstm_7_10_OFF,lstm,7,10,OFF,6903.553977836997,13.662236452102661
lstm_7_10_ON,lstm,7,10,ON,6902.202332577463,17.189165353775024
lstm_7_15_OFF,lstm,7,15,OFF,6903.8260084249205,13.890262365341187
lstm_7_15_ON,lstm,7,15,ON,6902.553944733183,16.80035972595215
lstm_7_20_OFF,lstm,7,20,OFF,6903.8946947000795,13.622623682022095
lstm_7_20_ON,lstm,7,20,ON,6902.369974427304,18.47651219367981
lstm_8_5_OFF,lstm,8,5,OFF,6903.691093832759,17.591501712799072
lstm_8_5_ON,lstm,8,5,ON,6902.02606718419,19.379213571548462
lstm_8_10_OFF,lstm,8,10,OFF,6903.832620911679,15.915821552276611
lstm_8_10_ON,lstm,8,10,ON,6902.164716300318,18.5811026096344
lstm_8_15_OFF,lstm,8,15,OFF,6903.356269448491,16.191373825073242
lstm_8_15_ON,lstm,8,15,ON,6902.504487635726,20.419212818145752
lstm_8_20_OFF,lstm,8,20,OFF,6904.160096249338,15.518996000289917
lstm_8_20_ON,lstm,8,20,ON,6902.435671014301,19.298503160476685
lstm_9_5_OFF,lstm,9,5,OFF,6902.869200625662,16.0097439289093
lstm_9_5_ON,lstm,9,5,ON,6902.014530505164,20.373517513275146
lstm_9_10_OFF,lstm,9,10,OFF,6903.704422255694,15.78666877746582
lstm_9_10_ON,lstm,9,10,ON,6902.115666793565,19.95467495918274
lstm_9_15_OFF,lstm,9,15,OFF,6903.705661579714,14.739208936691284
lstm_9_15_ON,lstm,9,15,ON,6902.378438658633,19.94449758529663
lstm_9_20_OFF,lstm,9,20,OFF,6903.944515939486,15.450138330459595
lstm_9_20_ON,lstm,9,20,ON,6902.453716730667,19.458613872528076
