Model_Name,Arch,Layers,Seq_Length,BatchNorm,final_loss,training_time_seconds
lstm_1_5_OFF,lstm,1,5,OFF,6915.84228515625,6.86317777633667
lstm_1_5_ON,lstm,1,5,ON,6925.390668448756,7.600432634353638
lstm_1_10_OFF,lstm,1,10,OFF,6918.328470521054,7.416699171066284
lstm_1_10_ON,lstm,1,10,ON,6928.044179108183,7.787835359573364
lstm_1_15_OFF,lstm,1,15,OFF,6914.119693044889,7.410506963729858
lstm_1_15_ON,lstm,1,15,ON,6926.768709861626,7.039678335189819
lstm_1_20_OFF,lstm,1,20,OFF,6918.3199876688295,6.8747498989105225
lstm_1_20_ON,lstm,1,20,ON,6929.616622666181,7.320011377334595
lstm_2_5_OFF,lstm,2,5,OFF,6903.26442291777,9.212795972824097
lstm_2_5_ON,lstm,2,5,ON,6911.406601728019,8.560657024383545
lstm_2_10_OFF,lstm,2,10,OFF,6903.810017213983,7.242936134338379
lstm_2_10_ON,lstm,2,10,ON,6902.783525887182,8.714700937271118
lstm_2_15_OFF,lstm,2,15,OFF,6903.606778419624,7.984494209289551
lstm_2_15_ON,lstm,2,15,ON,6902.817204879502,7.7581117153167725
lstm_2_20_OFF,lstm,2,20,OFF,6903.521740929555,7.362938642501831
lstm_2_20_ON,lstm,2,20,ON,6906.354138390492,8.340137004852295
lstm_3_5_OFF,lstm,3,5,OFF,6903.192498675848,9.74242615699768
lstm_3_5_ON,lstm,3,5,ON,6902.708537473517,9.019996404647827
lstm_3_10_OFF,lstm,3,10,OFF,6903.118246822034,8.600687026977539
lstm_3_10_ON,lstm,3,10,ON,6902.752157954847,9.622599840164185
lstm_3_15_OFF,lstm,3,15,OFF,6903.850376969677,8.029252767562866
lstm_3_15_ON,lstm,3,15,ON,6902.927074367717,9.02902889251709
lstm_3_20_OFF,lstm,3,20,OFF,6903.969687251722,8.430423974990845
lstm_3_20_ON,lstm,3,20,ON,6902.763239456435,8.7623610496521
lstm_4_5_OFF,lstm,4,5,OFF,6903.149904412739,9.181941986083984
lstm_4_5_ON,lstm,4,5,ON,6902.278456865731,10.999415159225464
lstm_4_10_OFF,lstm,4,10,OFF,6903.44237039857,9.01241946220398
lstm_4_10_ON,lstm,4,10,ON,6902.413532838983,9.890110492706299
