Model_Name,Arch,Layers,Seq_Length,BatchNorm,final_loss,training_time_seconds
conv_8_5_OFF,conv,8,5,OFF,6901.846369339248,7.7587666511535645
conv_8_5_ON,conv,8,5,ON,6916.717479641155,8.948330402374268
conv_8_10_OFF,conv,8,10,OFF,6902.0229202529135,7.935144424438477
conv_8_10_ON,conv,8,10,ON,6913.514265674656,8.7104651927948
conv_8_15_OFF,conv,8,15,OFF,6902.138175317797,7.289642333984375
conv_8_15_ON,conv,8,15,ON,6911.904716879634,8.940447330474854
conv_8_20_OFF,conv,8,20,OFF,6902.170482570842,7.411828517913818
conv_8_20_ON,conv,8,20,ON,6904.294253591764,8.664964437484741
conv_9_5_OFF,conv,9,5,OFF,6901.845943127649,7.2278783321380615
conv_9_5_ON,conv,9,5,ON,6918.845181739936,9.403764486312866
conv_9_10_OFF,conv,9,10,OFF,6902.017226396981,7.48436427116394
conv_9_10_ON,conv,9,10,ON,6908.3135986328125,9.039472341537476
conv_9_15_OFF,conv,9,15,OFF,6902.139747748941,7.442980766296387
conv_9_15_ON,conv,9,15,ON,6904.928977836997,9.633798360824585
conv_9_20_OFF,conv,9,20,OFF,6902.171512927039,7.523888826370239
conv_9_20_ON,conv,9,20,ON,6903.177413681806,9.25849962234497
conv_10_5_OFF,conv,10,5,OFF,6901.846559686176,7.738946437835693
conv_10_5_ON,conv,10,5,ON,6914.94602630098,9.663573503494263
conv_10_10_OFF,conv,10,10,OFF,6902.018227787341,8.09814715385437
conv_10_10_ON,conv,10,10,ON,6905.792890128443,9.856727600097656
conv_10_15_OFF,conv,10,15,OFF,6902.1332200907045,7.893658638000488
conv_10_15_ON,conv,10,15,ON,6904.388340836865,9.756518125534058
conv_10_20_OFF,conv,10,20,OFF,6902.170300499867,7.791780948638916
conv_10_20_ON,conv,10,20,ON,6904.134461483713,10.225613117218018
